array_size,program_name,num_threads,min_parallel_size,thread_stack_size,time
20,openmpMergeSort,6,1,1048576,581327.81
30,serialMergeSort,1,0,0,3770.21
30,parallelMergeSort,6,1,1048576,5187463.26
30,openmpMergeSort,6,1,1048576,471363.81
40,serialMergeSort,1,0,0,4970.69
40,parallelMergeSort,6,1,1048576,1209735.48
40,openmpMergeSort,6,1,1048576,449720.59
1,serialMergeSort,1,0,0,55.376
1,parallelMergeSort,16,1,1048576,68.646
1,openmpMergeSort,16,1,1048576,1206318.988
5,serialMergeSort,1,0,0,562.597
5,parallelMergeSort,16,1,1048576,1464693.33
5,openmpMergeSort,16,1,1048576,1188015.144
10,serialMergeSort,1,0,0,1257.106
10,parallelMergeSort,16,1,1048576,3948821.152
10,openmpMergeSort,16,1,1048576,3076457.967
50,serialMergeSort,1,0,0,5896.262
50,parallelMergeSort,16,1,1048576,12634175.617
50,openmpMergeSort,16,1,1048576,2697372.98
100,serialMergeSort,1,0,0,11977.864
100,parallelMergeSort,16,1,1048576,8972249.428
100,openmpMergeSort,16,1,1048576,2414015.465
500,serialMergeSort,1,0,0,61336.292
500,parallelMergeSort,16,1,1048576,8104985.964
500,openmpMergeSort,16,1,1048576,3073147.508
1000,serialMergeSort,1,0,0,127661.09
1000,parallelMergeSort,16,1,1048576,7202124.428
1000,openmpMergeSort,16,1,1048576,2517155.129
1,serialMergeSort,1,0,0,57.3
1,parallelMergeSort,6,1,1048576,69.506
1,openmpMergeSort,6,1,1048576,330967.992
5,serialMergeSort,1,0,0,604.686
5,parallelMergeSort,6,1,1048576,1727559.165
5,openmpMergeSort,6,1,1048576,439473.051
10,serialMergeSort,1,0,0,1180.296
10,parallelMergeSort,6,1,1048576,2024990.632
10,openmpMergeSort,6,1,1048576,508646.751
50,serialMergeSort,1,0,0,5686.001
50,parallelMergeSort,6,1,1048576,3749496.148
50,openmpMergeSort,6,1,1048576,595543.59
100,serialMergeSort,1,0,0,11293.438
100,parallelMergeSort,6,1,1048576,4152059.983
100,openmpMergeSort,6,1,1048576,481145.419
500,serialMergeSort,1,0,0,66128.837
500,parallelMergeSort,6,1,1048576,4726655.411
500,openmpMergeSort,6,1,1048576,596389.955
1000,serialMergeSort,1,0,0,121255.39
1000,parallelMergeSort,6,1,1048576,5791783.204
1000,openmpMergeSort,6,1,1048576,584911.102
1,serialMergeSort,1,0,0,62.773
1,parallelMergeSort,6,1,1048576,81.653
1,openmpMergeSort,6,1,1048576,354867.21
5,serialMergeSort,1,0,0,562.798
5,parallelMergeSort,6,1,1048576,1263201.432
5,openmpMergeSort,6,1,1048576,775483.644
10,serialMergeSort,1,0,0,1261.82
10,parallelMergeSort,6,1,1048576,3471514.575
10,openmpMergeSort,6,1,1048576,624001.432
50,serialMergeSort,1,0,0,5738.445
50,parallelMergeSort,6,1,1048576,4201497.667
50,openmpMergeSort,6,1,1048576,868458.399
100,serialMergeSort,1,0,0,11627.929
100,parallelMergeSort,6,1,1048576,2690388.452
100,openmpMergeSort,6,1,1048576,752263.755
500,serialMergeSort,1,0,0,59255.137
500,parallelMergeSort,6,1,1048576,2768423.962
500,openmpMergeSort,6,1,1048576,918433.992
1000,serialMergeSort,1,0,0,128607.678
1000,parallelMergeSort,6,1,1048576,2244739.098
1000,openmpMergeSort,6,1,1048576,627322.433
1,serialMergeSort,1,0,0,56.195
1,parallelMergeSort,6,1,1048576,68.811
1,openmpMergeSort,6,1,1048576,316610.825
5,serialMergeSort,1,0,0,573.218
5,parallelMergeSort,6,1,1048576,1766071.06
5,openmpMergeSort,6,1,1048576,1328959.05
10,serialMergeSort,1,0,0,1186.82
10,parallelMergeSort,6,1,1048576,1674546.421
10,openmpMergeSort,6,1,1048576,1332399.998
50,serialMergeSort,1,0,0,5891.88
50,parallelMergeSort,6,1,1048576,2247816.856
50,openmpMergeSort,6,1,1048576,834678.043
100,serialMergeSort,1,0,0,11980.061
100,parallelMergeSort,6,1,1048576,2983697.959
100,openmpMergeSort,6,1,1048576,538414.953
500,serialMergeSort,1,0,0,56823.533
500,parallelMergeSort,6,1,1048576,2613612.769
500,openmpMergeSort,6,1,1048576,537423.234
1000,serialMergeSort,1,0,0,116373.17
1000,parallelMergeSort,6,1,1048576,4395492.386
1000,openmpMergeSort,6,1,1048576,615033.32
1,serialMergeSort,1,0,0,56.196
1,parallelMergeSort,6,1,1048576,67.268
1,openmpMergeSort,6,1,1048576,325990.219
