array_size,program_name,num_threads,min_parallel_size,thread_stack_size,time
100000,tholderMergeSortIterative,16,1,1048576,2315762.2
100000,tholderMergeSortIterative,32,1,1048576,2902552.3
100000,serialMergeSortIterative,1,0,0,6296599.5
100000,serialMergeSort,1,0,0,9070575.1
100000,parallelMergeSort,8,1,1048576,2160417.2
100000,parallelMergeSort,16,1,1048576,2106967.5
100000,parallelMergeSort,32,1,1048576,2801303.4
100000,openmpMergeSort,8,1,1048576,2534810.7
100000,openmpMergeSort,16,1,1048576,2187842.2
100000,openmpMergeSort,32,1,1048576,14020346.5
100000,openmpMergeSortIterative,8,1,1048576,1804158.1
100000,openmpMergeSortIterative,16,1,1048576,1800166.8
100000,openmpMergeSortIterative,32,1,1048576,129801547.4
100000,parallelMergeSortIterative,8,1,1048576,4564250.0
100000,parallelMergeSortIterative,16,1,1048576,7295572.2
100000,parallelMergeSortIterative,32,1,1048576,14066457.5
100000,tholderMergeSortIterative,8,1,1048576,2234244.5
100000,tholderMergeSortIterative,16,1,1048576,2422461.7
100000,tholderMergeSortIterative,32,1,1048576,2728060.2
100000,serialMergeSortIterative,1,0,0,6374562.8
200000,serialMergeSort,1,0,0,17952411.9
200000,parallelMergeSort,8,1,1048576,4063851.9
200000,parallelMergeSort,16,1,1048576,3776802.7
200000,parallelMergeSort,32,1,1048576,4015461.7
200000,openmpMergeSort,8,1,1048576,5007822.6
200000,openmpMergeSort,16,1,1048576,3783617.1
200000,openmpMergeSort,32,1,1048576,14418670.9
200000,openmpMergeSortIterative,8,1,1048576,3481218.9
200000,openmpMergeSortIterative,16,1,1048576,3108988.0
200000,openmpMergeSortIterative,32,1,1048576,136917183.0
200000,parallelMergeSortIterative,8,1,1048576,6377633.5
200000,parallelMergeSortIterative,16,1,1048576,9063996.2
200000,parallelMergeSortIterative,32,1,1048576,15766156.7
200000,tholderMergeSortIterative,8,1,1048576,3812958.5
200000,tholderMergeSortIterative,16,1,1048576,3816737.6
200000,tholderMergeSortIterative,32,1,1048576,4010565.4
200000,serialMergeSortIterative,1,0,0,13458778.5
300000,serialMergeSort,1,0,0,27491355.7
300000,parallelMergeSort,8,1,1048576,6020179.3
300000,parallelMergeSort,16,1,1048576,4999871.7
300000,parallelMergeSort,32,1,1048576,5190072.2
300000,openmpMergeSort,8,1,1048576,7490965.7
300000,openmpMergeSort,16,1,1048576,5316673.2
300000,openmpMergeSort,32,1,1048576,15966532.9
300000,openmpMergeSortIterative,8,1,1048576,5205508.6
300000,openmpMergeSortIterative,16,1,1048576,4417507.0
300000,openmpMergeSortIterative,32,1,1048576,146310069.5
300000,parallelMergeSortIterative,8,1,1048576,8041039.4
300000,parallelMergeSortIterative,16,1,1048576,10419224.6
300000,parallelMergeSortIterative,32,1,1048576,17616971.9
300000,tholderMergeSortIterative,8,1,1048576,5631539.0
300000,tholderMergeSortIterative,16,1,1048576,5229713.1
300000,tholderMergeSortIterative,32,1,1048576,5784863.1
300000,serialMergeSortIterative,1,0,0,20666559.5
400000,serialMergeSort,1,0,0,37384715.3
400000,parallelMergeSort,8,1,1048576,7264984.5
400000,parallelMergeSort,16,1,1048576,6354992.9
400000,parallelMergeSort,32,1,1048576,6321639.8
400000,openmpMergeSort,8,1,1048576,10040198.7
400000,openmpMergeSort,16,1,1048576,7023465.8
400000,openmpMergeSort,32,1,1048576,15744805.5
400000,openmpMergeSortIterative,8,1,1048576,6404339.1
400000,openmpMergeSortIterative,16,1,1048576,6035520.2
400000,openmpMergeSortIterative,32,1,1048576,145495395.7
400000,parallelMergeSortIterative,8,1,1048576,10383131.2
400000,parallelMergeSortIterative,16,1,1048576,12546095.3
400000,parallelMergeSortIterative,32,1,1048576,19057559.5
400000,tholderMergeSortIterative,8,1,1048576,7348466.9
400000,tholderMergeSortIterative,16,1,1048576,6663236.4
400000,tholderMergeSortIterative,32,1,1048576,6864438.6
400000,serialMergeSortIterative,1,0,0,28255056.2
500000,serialMergeSort,1,0,0,47215260.5
500000,parallelMergeSort,8,1,1048576,9093305.3
500000,parallelMergeSort,16,1,1048576,7192810.1
500000,parallelMergeSort,32,1,1048576,7464760.3
500000,openmpMergeSort,8,1,1048576,12606475.5
500000,openmpMergeSort,16,1,1048576,8900071.7
500000,openmpMergeSort,32,1,1048576,17476062.3
500000,openmpMergeSortIterative,8,1,1048576,8137754.0
500000,openmpMergeSortIterative,16,1,1048576,7022329.7
500000,openmpMergeSortIterative,32,1,1048576,145774033.4
500000,parallelMergeSortIterative,8,1,1048576,12859354.4
500000,parallelMergeSortIterative,16,1,1048576,13164121.4
500000,parallelMergeSortIterative,32,1,1048576,20891935.1
500000,tholderMergeSortIterative,8,1,1048576,8827663.1
500000,tholderMergeSortIterative,16,1,1048576,7819316.1
500000,tholderMergeSortIterative,32,1,1048576,8047804.1
500000,serialMergeSortIterative,1,0,0,36351481.4
600000,serialMergeSort,1,0,0,57113075.3
600000,parallelMergeSort,8,1,1048576,10895379.7
600000,parallelMergeSort,16,1,1048576,8714949.5
600000,parallelMergeSort,32,1,1048576,8345147.2
600000,openmpMergeSort,8,1,1048576,15359174.2
600000,openmpMergeSort,16,1,1048576,10262146.0
600000,openmpMergeSort,32,1,1048576,15484510.5
600000,openmpMergeSortIterative,8,1,1048576,10122723.1
600000,openmpMergeSortIterative,16,1,1048576,8758680.2
600000,openmpMergeSortIterative,32,1,1048576,149172415.1
600000,parallelMergeSortIterative,8,1,1048576,16221754.2
600000,parallelMergeSortIterative,16,1,1048576,15347067.0
600000,parallelMergeSortIterative,32,1,1048576,22864630.3
600000,tholderMergeSortIterative,8,1,1048576,11144131.0
600000,tholderMergeSortIterative,16,1,1048576,9400471.8
600000,tholderMergeSortIterative,32,1,1048576,9883353.7
600000,serialMergeSortIterative,1,0,0,43134680.0
700000,serialMergeSort,1,0,0,67168133.8
700000,parallelMergeSort,8,1,1048576,12948481.5
700000,parallelMergeSort,16,1,1048576,9834692.0
700000,parallelMergeSort,32,1,1048576,10152373.3
700000,openmpMergeSort,8,1,1048576,17802549.1
700000,openmpMergeSort,16,1,1048576,12296382.6
700000,openmpMergeSort,32,1,1048576,21082458.3
700000,openmpMergeSortIterative,8,1,1048576,11551593.3
700000,openmpMergeSortIterative,16,1,1048576,9792932.1
700000,openmpMergeSortIterative,32,1,1048576,140120698.4
700000,parallelMergeSortIterative,8,1,1048576,18089312.2
700000,parallelMergeSortIterative,16,1,1048576,18149448.5
700000,parallelMergeSortIterative,32,1,1048576,24394518.1
700000,tholderMergeSortIterative,8,1,1048576,12682466.1
700000,tholderMergeSortIterative,16,1,1048576,10830624.6
700000,tholderMergeSortIterative,32,1,1048576,11305700.7
700000,serialMergeSortIterative,1,0,0,51031519.3
800000,serialMergeSort,1,0,0,77234576.9
800000,parallelMergeSort,8,1,1048576,13937552.5
800000,parallelMergeSort,16,1,1048576,12773829.1
800000,parallelMergeSort,32,1,1048576,11346375.6
800000,openmpMergeSort,8,1,1048576,20270999.3
800000,openmpMergeSort,16,1,1048576,13792757.2
800000,openmpMergeSort,32,1,1048576,20036704.6
800000,openmpMergeSortIterative,8,1,1048576,13048328.9
800000,openmpMergeSortIterative,16,1,1048576,11241625.9
800000,openmpMergeSortIterative,32,1,1048576,154024132.4
800000,parallelMergeSortIterative,8,1,1048576,19168071.2
800000,parallelMergeSortIterative,16,1,1048576,18372840.1
800000,parallelMergeSortIterative,32,1,1048576,24324905.9
800000,tholderMergeSortIterative,8,1,1048576,14505189.1
800000,tholderMergeSortIterative,16,1,1048576,12271646.7
800000,tholderMergeSortIterative,32,1,1048576,12520735.6
800000,serialMergeSortIterative,1,0,0,59178175.9
900000,serialMergeSort,1,0,0,88079047.9
900000,parallelMergeSort,8,1,1048576,17173381.1
900000,parallelMergeSort,16,1,1048576,13024655.2
900000,parallelMergeSort,32,1,1048576,12417459.1
900000,openmpMergeSort,8,1,1048576,22950223.6
900000,openmpMergeSort,16,1,1048576,15636976.8
900000,openmpMergeSort,32,1,1048576,22182298.1
900000,openmpMergeSortIterative,8,1,1048576,14379082.4
900000,openmpMergeSortIterative,16,1,1048576,12644076.6
900000,openmpMergeSortIterative,32,1,1048576,153547794.1
900000,parallelMergeSortIterative,8,1,1048576,19561631.7
900000,parallelMergeSortIterative,16,1,1048576,19896465.1
900000,parallelMergeSortIterative,32,1,1048576,26986024.7
900000,tholderMergeSortIterative,8,1,1048576,15847513.2
900000,tholderMergeSortIterative,16,1,1048576,13803210.1
900000,tholderMergeSortIterative,32,1,1048576,13917007.6
900000,serialMergeSortIterative,1,0,0,67453062.4
1000000,serialMergeSort,1,0,0,98495975.0
1000000,parallelMergeSort,8,1,1048576,18731982.5
1000000,parallelMergeSort,16,1,1048576,15973312.4
1000000,parallelMergeSort,32,1,1048576,13606507.0
1000000,openmpMergeSort,8,1,1048576,25457713.7
1000000,openmpMergeSort,16,1,1048576,16989726.0
1000000,openmpMergeSort,32,1,1048576,19911922.1
1000000,openmpMergeSortIterative,8,1,1048576,15963846.8
1000000,openmpMergeSortIterative,16,1,1048576,13770948.9
1000000,openmpMergeSortIterative,32,1,1048576,151729934.9
1000000,parallelMergeSortIterative,8,1,1048576,19822567.9
1000000,parallelMergeSortIterative,16,1,1048576,20890908.0
1000000,parallelMergeSortIterative,32,1,1048576,26763459.9
1000000,tholderMergeSortIterative,8,1,1048576,17218769.9
1000000,tholderMergeSortIterative,16,1,1048576,15243698.3
1000000,tholderMergeSortIterative,32,1,1048576,15266802.7
1000000,serialMergeSortIterative,1,0,0,75107971.4
2000000,serialMergeSort,1,0,0,204549727.3
2000000,parallelMergeSort,8,1,1048576,36373383.8
2000000,parallelMergeSort,16,1,1048576,29457830.4
2000000,parallelMergeSort,32,1,1048576,26830897.0
2000000,openmpMergeSort,8,1,1048576,52035596.7
2000000,openmpMergeSort,16,1,1048576,34140100.2
2000000,openmpMergeSort,32,1,1048576,33497516.9
2000000,openmpMergeSortIterative,8,1,1048576,32402157.3
2000000,openmpMergeSortIterative,16,1,1048576,27082134.9
2000000,openmpMergeSortIterative,32,1,1048576,166245606.2
2000000,parallelMergeSortIterative,8,1,1048576,39946483.9
2000000,parallelMergeSortIterative,16,1,1048576,34655590.5
2000000,parallelMergeSortIterative,32,1,1048576,38402484.3
2000000,tholderMergeSortIterative,8,1,1048576,36178497.0
2000000,tholderMergeSortIterative,16,1,1048576,30568268.3
2000000,tholderMergeSortIterative,32,1,1048576,29819795.2
2000000,serialMergeSortIterative,1,0,0,158780455.2
3000000,serialMergeSort,1,0,0,312321099.6
3000000,parallelMergeSort,8,1,1048576,51158788.5
3000000,parallelMergeSort,16,1,1048576,44026773.0
3000000,parallelMergeSort,32,1,1048576,39036333.1
3000000,openmpMergeSort,8,1,1048576,79587788.2
3000000,openmpMergeSort,16,1,1048576,51825829.0
3000000,openmpMergeSort,32,1,1048576,46339072.9
3000000,openmpMergeSortIterative,8,1,1048576,51076607.6
3000000,openmpMergeSortIterative,16,1,1048576,42538401.4
3000000,openmpMergeSortIterative,32,1,1048576,183547181.3
3000000,parallelMergeSortIterative,8,1,1048576,58996308.6
3000000,parallelMergeSortIterative,16,1,1048576,51535221.9
3000000,parallelMergeSortIterative,32,1,1048576,52970588.1
3000000,tholderMergeSortIterative,8,1,1048576,57021885.5
3000000,tholderMergeSortIterative,16,1,1048576,47965611.4
3000000,tholderMergeSortIterative,32,1,1048576,45370517.4
3000000,serialMergeSortIterative,1,0,0,244062075.9
4000000,serialMergeSort,1,0,0,422306981.6
4000000,parallelMergeSort,8,1,1048576,73224027.5
4000000,parallelMergeSort,16,1,1048576,58386508.4
4000000,parallelMergeSort,32,1,1048576,50202813.1
4000000,openmpMergeSort,8,1,1048576,107751865.0
4000000,openmpMergeSort,16,1,1048576,69740042.4
4000000,openmpMergeSort,32,1,1048576,59408050.1
4000000,openmpMergeSortIterative,8,1,1048576,65960411.2
4000000,openmpMergeSortIterative,16,1,1048576,53706011.5
4000000,openmpMergeSortIterative,32,1,1048576,186555487.1
4000000,parallelMergeSortIterative,8,1,1048576,75784158.6
4000000,parallelMergeSortIterative,16,1,1048576,63288880.4
